"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt"
"1","4HKNdrBYS5k","هيلي لاف بدل رحمه كان أفضل بكتير","هيلي لاف بدل رحمه كان أفضل بكتير","Spires Haji","https://yt3.ggpht.com/ytc/AMLnZu9xYAXEQzVNyHa0FQXWvKXCvFRDeC4DySEbZA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCH1GlR6Gj-zY8B9e02QVjOQ","UCH1GlR6Gj-zY8B9e02QVjOQ","TRUE","none","0","2022-10-18T21:29:55Z","2022-10-18T21:29:55Z"
"2","4HKNdrBYS5k","احمد اسمه حسوني سبورت او سوات","احمد اسمه حسوني سبورت او سوات","محمود","https://yt3.ggpht.com/ytc/AMLnZu-DfvSe-CS5NiCBqxW2hJF1uqSwhzxKzG2gbab4zEuknKJi8eykgasgIwQzpqJqUQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC13w8wD0f9k4brZJsPTmsBA","UC13w8wD0f9k4brZJsPTmsBA","TRUE","none","2","2022-10-18T21:26:46Z","2022-10-18T21:26:46Z"
"3","4HKNdrBYS5k","اغنية مافيها شي يمثلنا كعرب 😂","اغنية مافيها شي يمثلنا كعرب 😂","BG","https://yt3.ggpht.com/KdOGMrqVgvVP5rctk4hgm17_g0cu9zSyyv5g7XKDGLF04_Q1Va_2gFtQjBzJysQDbEF98pz7UA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCIp_Ymi3tRM1PjJiMdhnu5w","UCIp_Ymi3tRM1PjJiMdhnu5w","TRUE","none","0","2022-10-18T21:26:10Z","2022-10-18T21:26:10Z"
"4","4HKNdrBYS5k","worst song i ever hear","worst song i ever hear","Fearless","https://yt3.ggpht.com/wz9ns0Y0TMRddDwzHpj9KKiaowz3tIGH8hj_f5kFkL3q2SZBxRNdH4fPZGIIgCBOp39Y9oyKADw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxucS6m6wyLUGDsei9_Jaxg","UCxucS6m6wyLUGDsei9_Jaxg","TRUE","none","0","2022-10-18T21:22:32Z","2022-10-18T21:22:32Z"
"5","4HKNdrBYS5k","رحمة تجنن 💕💕","رحمة تجنن 💕💕","Tv Uv","https://yt3.ggpht.com/ytc/AMLnZu-1A2IA9Jm5QzzyRFuDGFuByNQ1oYaqM0R0_w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC7vxOw3ND5c0jGAUTk7W0Wg","UC7vxOw3ND5c0jGAUTk7W0Wg","TRUE","none","1","2022-10-18T21:20:30Z","2022-10-18T21:20:30Z"
"6","4HKNdrBYS5k","تعليقات الاجانب 😂 ! من يمي تفشلت عزا 😭","تعليقات الاجانب 😂 ! من يمي تفشلت عزا 😭","𓅃 ࢪ࣪ۿــوٰ","https://yt3.ggpht.com/jBMt8HoSVh_-rNicsCQDryzDLWYBZtpYIrZ-8PUwxeLjjSOe0Vp3ZjVYYrUfmSI3eZW2RrYubA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCrkAgd9JgVtfKIDKt2LFMlA","UCrkAgd9JgVtfKIDKt2LFMlA","TRUE","none","1","2022-10-18T21:20:15Z","2022-10-18T21:20:15Z"
"7","4HKNdrBYS5k","use me as a dislike button","use me as a dislike button","Osama Rizwan","https://yt3.ggpht.com/ytc/AMLnZu_EIOv4eILKHQpL-ro-eiGXIiXdUYg2yZU3-Qz2oSo=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCK8Er0AqAghpEqEeOwMKD0g","UCK8Er0AqAghpEqEeOwMKD0g","TRUE","none","0","2022-10-18T21:17:45Z","2022-10-18T21:17:45Z"
"8","4HKNdrBYS5k","رحمه رياض حلو صوتهه","رحمه رياض حلو صوتهه","ManarYM","https://yt3.ggpht.com/-oSfMQeQVs9dhZOzA3hfjz6JxsExlG-U1oMSHibelisN3DHxVrt1ZE8o4tMF3PgoDulFqhvFoS4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC7NR22JaIXzhXifHFy47Qeg","UC7NR22JaIXzhXifHFy47Qeg","TRUE","none","0","2022-10-18T21:07:46Z","2022-10-18T21:07:46Z"
"9","4HKNdrBYS5k","تقلد بلاك بينك ههههههههههههههههههههههههههههههههههههههههههههههههه","تقلد بلاك بينك ههههههههههههههههههههههههههههههههههههههههههههههههه","سلطان","https://yt3.ggpht.com/ytc/AMLnZu_4eMPWVmCBtEnBKoIw_4MPTKZyY4fvr70CHA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCv-ZwTHWhIhiGVCfQky2rzg","UCv-ZwTHWhIhiGVCfQky2rzg","TRUE","none","0","2022-10-18T21:07:17Z","2022-10-18T21:07:17Z"
"10","4HKNdrBYS5k","Old is gold 🙂🙂🙂👍👍👍","Old is gold 🙂🙂🙂👍👍👍","engineer asia96","https://yt3.ggpht.com/Dgo-ExyoSGRA_TFYgQallApP3RLlSWVhmfaZ5IaNfWY7v_Jy4q34uzn3wCuzeZ7jysXE-WohKvA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCz4i176vIdE0kGPAZWLWgCQ","UCz4i176vIdE0kGPAZWLWgCQ","TRUE","none","0","2022-10-18T21:06:58Z","2022-10-18T21:06:58Z"
"11","4HKNdrBYS5k","مستوى الاغنية نفس مستوى النساء بكرة القدم","مستوى الاغنية نفس مستوى النساء بكرة القدم","EZIO US","https://yt3.ggpht.com/ytc/AMLnZu8f3mU4soBdkVrGSd1HRS6pLUyjGxjS_lH6Ipq1Kg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5jXN_RmKlDlb4pbkUiAl5w","UC5jXN_RmKlDlb4pbkUiAl5w","TRUE","none","0","2022-10-18T21:05:41Z","2022-10-18T21:05:41Z"
"12","4HKNdrBYS5k","Sakira best❤️💛","Sakira best❤️💛","Rouja Jahan","https://yt3.ggpht.com/ytc/AMLnZu-wHn9Eaw3C2Gz-pDDrKbJxS4dXLiHszYGxuQ0jmaVgjscLu22JdwUsAUc_UfeS=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCGcwEvbaY67mF6WGtQONiKA","UCGcwEvbaY67mF6WGtQONiKA","TRUE","none","0","2022-10-18T21:04:01Z","2022-10-18T21:04:01Z"
"13","4HKNdrBYS5k","The comment section is flooded with negatibe comments. I know Wavin Flag is masterpiece but you cannot always compare.","The comment section is flooded with negatibe comments. I know Wavin Flag is masterpiece but you cannot always compare.","Tanvir Rahman","https://yt3.ggpht.com/ytc/AMLnZu_UsNjLi7QXjLTf4Dh7tsnWiifeNK-cTRl1a4TELis=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwXUG00zNx5S4kUOFKC0ZWA","UCwXUG00zNx5S4kUOFKC0ZWA","TRUE","none","0","2022-10-18T20:59:35Z","2022-10-18T20:59:35Z"
"14","4HKNdrBYS5k","Shakira&#39;s 2010 song was better than this","Shakira's 2010 song was better than this","Oussama El mobaraky","https://yt3.ggpht.com/ytc/AMLnZu_1MW2xOBxAckOJsuH3sPid-M-scTUVMgPH-WFwdw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCRJ6ZVEiBkAFSkvxG6niZCQ","UCRJ6ZVEiBkAFSkvxG6niZCQ","TRUE","none","0","2022-10-18T20:56:52Z","2022-10-18T20:56:52Z"
"15","4HKNdrBYS5k","🚮🚮🚮","🚮🚮🚮","L3BISSE","https://yt3.ggpht.com/cgRGA_r2tg6CcbUH5QpxewTprOD3bFb6KsmPp4JaIfUaeOWJx8Crhra8yyUXESPSDGi6rfu2EA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxUEGSThLUFrnbSxIO7WF1g","UCxUEGSThLUFrnbSxIO7WF1g","TRUE","none","0","2022-10-18T20:53:41Z","2022-10-18T20:53:41Z"
"16","4HKNdrBYS5k","Fully awkward song","Fully awkward song","Shawon gaming","https://yt3.ggpht.com/ytc/AMLnZu948KBAbkVdjKe1vxSvZ7a7-U0XiltPvhL94hHA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCko0_mkXPVNs3cHeE7dnc6w","UCko0_mkXPVNs3cHeE7dnc6w","TRUE","none","0","2022-10-18T20:50:31Z","2022-10-18T20:50:31Z"
"17","4HKNdrBYS5k","حلوه رحوم","حلوه رحوم","هديل محمد","https://yt3.ggpht.com/ytc/AMLnZu9PutxqT8s4vCSGLFVDDgmH3_t9DhtKGlS_rxBp5P6znNXAwEN_1lUJFktc4lzacw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC98Ftw6OtYtLmiYHZ31xuvg","UC98Ftw6OtYtLmiYHZ31xuvg","TRUE","none","0","2022-10-18T20:49:21Z","2022-10-18T20:49:21Z"
"18","4HKNdrBYS5k","شو التعليقات كلهه انكليزي","شو التعليقات كلهه انكليزي","هديل محمد","https://yt3.ggpht.com/ytc/AMLnZu9PutxqT8s4vCSGLFVDDgmH3_t9DhtKGlS_rxBp5P6znNXAwEN_1lUJFktc4lzacw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC98Ftw6OtYtLmiYHZ31xuvg","UC98Ftw6OtYtLmiYHZ31xuvg","TRUE","none","0","2022-10-18T20:49:10Z","2022-10-18T20:49:10Z"
"19","4HKNdrBYS5k","🍷🗿","🍷🗿","Wesley Fonseca Reis Silva","https://yt3.ggpht.com/UkCaHIfbcSZtPQ1xmjD1TrQKvNgcFyEiA4wjD6bnwd4pS5RC0chdZF9f7wAfhrUaq-R2LViZyQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCnen-bAtLxVwcGTwucSN_Dg","UCnen-bAtLxVwcGTwucSN_Dg","TRUE","none","0","2022-10-18T20:48:10Z","2022-10-18T20:48:10Z"
"20","4HKNdrBYS5k","لم تعجبني اطلاقا ! لا تعني كرة القدم بشيء ليس كما المعتاد 😐","لم تعجبني اطلاقا ! لا تعني كرة القدم بشيء ليس كما المعتاد 😐","Fery T","https://yt3.ggpht.com/ytc/AMLnZu-eekmlxbdHjkNUgzyDB0D05p9-pAtaT9x_IRvsgri8NTIF_TV0FdTod4GRKib_=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCaVVBEQF9Z_vmhIaaHi89WQ","UCaVVBEQF9Z_vmhIaaHi89WQ","TRUE","none","0","2022-10-18T20:42:21Z","2022-10-18T20:42:21Z"
